invoice_no,customer_id,product_id,quantity,transaction_date,total_amount
INV00000000,CUST03153,PROD00039,10,2024-06-14,2817.0
INV00000001,CUST00448,PROD00003,9,2022-12-08,3523.14
INV00000002,CUST03845,PROD00127,2,2023-04-26,456.18
INV00000003,CUST04028,PROD00083,6,2023-04-29,1162.86
INV00000004,CUST02279,PROD00013,4,2023-11-16,267.76
INV00000005,CUST04510,PROD00165,7,2024-02-25,3487.05
INV00000006,CUST01926,PROD00021,8,2023-08-16,663.04
INV00000007,CUST04695,PROD00115,8,2022-11-28,721.52
INV00000008,CUST03663,PROD00081,8,2023-03-30,325.52
INV00000009,CUST00146,PROD00027,7,2023-10-15,1116.01
INV00000010,CUST00294,PROD00143,1,2023-10-10,29.99
INV00000011,CUST00745,PROD00155,10,2024-12-24,2515.3
INV00000012,CUST02496,PROD00131,4,2024-06-11,514.04
INV00000013,CUST03738,PROD00088,1,2024-02-28,391.59
INV00000014,CUST01827,PROD00117,9,2023-08-30,349.47
INV00000015,CUST04915,PROD00122,8,2024-03-06,2231.36
INV00000016,CUST00935,PROD00025,4,2024-10-25,881.96
INV00000017,CUST00018,PROD00088,5,2023-04-28,1957.95
INV00000018,CUST04487,PROD00134,2,2023-09-23,125.9
INV00000019,CUST00376,PROD00043,3,2023-10-02,817.98
INV00000020,CUST03353,PROD00028,10,2023-09-05,2438.4
INV00000021,CUST01605,PROD00049,7,2023-04-05,2510.41
INV00000022,CUST01767,PROD00118,6,2023-06-05,1308.24
INV00000023,CUST00883,PROD00194,1,2023-07-07,130.41
INV00000024,CUST04824,PROD00032,8,2024-03-05,103.6
INV00000025,CUST04828,PROD00130,8,2022-09-25,2122.0
INV00000026,CUST00036,PROD00136,1,2024-07-16,308.07
INV00000027,CUST04533,PROD00111,8,2024-04-27,2216.48
INV00000028,CUST04165,PROD00200,3,2024-11-21,1202.58
INV00000029,CUST04740,PROD00045,3,2024-04-01,473.61
INV00000030,CUST00849,PROD00100,10,2024-03-07,4895.8
INV00000031,CUST04966,PROD00083,7,2023-12-01,1356.67
INV00000032,CUST03430,PROD00156,5,2023-06-25,1863.5
INV00000033,CUST03260,PROD00088,8,2023-11-03,3132.72
INV00000034,CUST01093,PROD00036,10,2023-11-09,3098.8
INV00000035,CUST04197,PROD00077,9,2023-10-15,1630.35
INV00000036,CUST01781,PROD00052,10,2023-04-03,4402.7
INV00000037,CUST02381,PROD00176,3,2023-05-26,543.63
INV00000038,CUST01457,PROD00129,2,2023-10-24,587.72
INV00000039,CUST02886,PROD00144,10,2023-10-30,3156.1
INV00000040,CUST04675,PROD00171,7,2024-12-25,2301.11
INV00000041,CUST04374,PROD00074,1,2023-11-06,439.6
INV00000042,CUST04283,PROD00028,7,2023-01-15,1706.88
INV00000043,CUST01191,PROD00014,1,2024-07-08,425.98
INV00000044,CUST01638,PROD00069,5,2023-01-08,991.95
INV00000045,CUST02053,PROD00038,1,2024-09-15,53.27
INV00000046,CUST02418,PROD00053,9,2024-07-07,3648.15
INV00000047,CUST00265,PROD00092,2,2024-03-18,332.0
INV00000048,CUST04603,PROD00058,4,2024-05-13,1013.0
INV00000049,CUST04186,PROD00179,1,2023-07-01,456.03
INV00000050,CUST03126,PROD00100,6,2023-08-03,2937.48
INV00000051,CUST04524,PROD00014,5,2022-05-31,2129.9
INV00000052,CUST01664,PROD00159,4,2024-01-27,186.92
INV00000053,CUST03013,PROD00194,4,2023-03-09,521.64
INV00000054,CUST02410,PROD00115,2,2023-01-22,180.38
INV00000055,CUST01532,PROD00045,7,2022-10-30,1105.09
INV00000056,CUST00333,PROD00110,9,2023-08-30,2854.8
INV00000057,CUST02165,PROD00034,10,2022-12-16,665.7
INV00000058,CUST02090,PROD00002,8,2023-09-09,2258.0
INV00000059,CUST01269,PROD00011,6,2023-03-13,2416.44
INV00000060,CUST04890,PROD00014,10,2024-09-19,4259.8
INV00000061,CUST02468,PROD00126,9,2024-08-06,2556.09
INV00000062,CUST02934,PROD00019,6,2024-06-17,663.78
INV00000063,CUST04305,PROD00057,3,2024-12-30,1227.36
INV00000064,CUST04265,PROD00018,7,2023-02-03,527.59
INV00000065,CUST04449,PROD00138,2,2023-05-04,939.66
INV00000066,CUST02863,PROD00057,6,2023-05-29,2454.72
INV00000067,CUST02713,PROD00093,4,2023-05-04,1883.72
INV00000068,CUST04346,PROD00122,1,2023-12-20,278.92
INV00000069,CUST00940,PROD00172,8,2024-01-06,3280.72
