customer_id,recency,frequency,monetary,cluster,cluster_name,pca1,pca2
CUST00001,55,11,14304.51,2,Potential Loyalists,0.42955571439864126,-0.24861709241942717
CUST00002,113,7,11497.41,1,Low Spenders,-0.9624817457759723,-0.12522268298622155
CUST00003,160,9,12647.02,4,Lost Customers,-0.6137610099800123,0.5390312215500251
CUST00004,199,8,15770.68,4,Lost Customers,-0.6292185604839223,1.0384767875871683
CUST00005,84,5,7926.14,1,Low Spenders,-1.6621127863029426,-0.7593136213634758
CUST00006,106,6,8259.98,1,Low Spenders,-1.5088811745020982,-0.456281794849034
CUST00007,64,10,13486.72,2,Potential Loyalists,0.09139075985796216,-0.2783726174901682
CUST00008,112,8,8169.55,1,Low Spenders,-1.1294591853024833,-0.26632917098505243
CUST00009,4,12,19194.12,0,Champions,1.406909894972401,-0.3840197359911302
CUST00010,29,6,6329.65,1,Low Spenders,-1.4058848598297298,-1.323117388167463
CUST00011,35,12,16513.24,2,Potential Loyalists,0.972045031472643,-0.2426353743470149
CUST00012,133,7,9909.26,1,Low Spenders,-1.2269478059572287,-0.02551506351253214
CUST00013,74,14,34685.52,0,Champions,3.2908493253491904,1.3655480268099687
CUST00014,169,5,6360.52,1,Low Spenders,-2.1963390312690887,-0.024335524226146828
CUST00015,79,10,18057.14,2,Potential Loyalists,0.5484961357403157,0.14229972663600146
CUST00016,31,10,14277.41,2,Potential Loyalists,0.3195992467160947,-0.5527390541908773
CUST00017,88,12,8698.37,2,Potential Loyalists,-0.13905397369539296,-0.19491151663535392
CUST00018,17,11,26446.98,0,Champions,1.9701359235951599,0.1097537784942984
CUST00019,77,10,9187.13,1,Low Spenders,-0.45221240789367223,-0.4097134505731166
CUST00020,77,10,14299.98,2,Potential Loyalists,0.12944580421020727,-0.10276525267681956
CUST00021,8,8,15784.32,2,Potential Loyalists,0.17254468656077435,-0.8234476980733714
CUST00022,57,10,15598.5,2,Potential Loyalists,0.360962400203849,-0.21986070996243468
CUST00023,73,12,16098.55,2,Potential Loyalists,0.7656638593586976,0.10306700866304645
CUST00024,78,7,8326.81,1,Low Spenders,-1.1765462335602566,-0.6569089736071766
CUST00025,32,11,13730.59,2,Potential Loyalists,0.4606248335965537,-0.5073815926216546
CUST00026,69,7,7825.52,1,Low Spenders,-1.1958686823579565,-0.7747769942503032
CUST00027,37,15,19161.66,0,Champions,1.8872314790871043,0.14116586860169664
CUST00028,120,9,10177.87,1,Low Spenders,-0.7270778023612422,0.0006933261950360302
CUST00029,1,16,24838.79,0,Champions,2.8913332408557606,0.19933046381923744
CUST00030,7,11,18393.76,2,Potential Loyalists,1.0958653809904042,-0.47124435515326546
CUST00031,153,8,7670.37,1,Low Spenders,-1.3580210439762535,0.10355863290905622
CUST00032,156,9,12575.14,4,Lost Customers,-0.6051800093711611,0.4957055982659864
CUST00033,44,12,17382.47,2,Potential Loyalists,1.0332258024510255,-0.10267820187389842
CUST00034,118,10,18274.89,2,Potential Loyalists,0.40987427190858705,0.5357230113766608
CUST00035,19,16,17382.84,0,Champions,1.9677020230112345,-0.07273844523566242
CUST00036,120,12,16871.99,2,Potential Loyalists,0.6567427943741913,0.6078716163791533
CUST00037,307,9,14142.22,4,Lost Customers,-1.0595306819169448,2.062424746384553
CUST00038,176,15,25383.6,0,Champions,2.0127113176928,1.870306945552621
CUST00039,12,6,8767.36,1,Low Spenders,-1.057338232110167,-1.3425642150475818
CUST00040,58,13,16311.97,2,Potential Loyalists,1.0602108059829047,0.03802388969433742
CUST00041,6,13,16612.82,2,Potential Loyalists,1.3122953320981539,-0.4510490011047369
CUST00042,216,5,7346.91,3,Lost Customers,-2.281034054756677,0.49325346377532253
CUST00043,109,12,15070.92,2,Potential Loyalists,0.49793136578950636,0.39246658273287666
CUST00044,487,10,17562.69,3,Lost Customers,-1.2171067961610649,4.091669465810306
CUST00045,83,10,8028.37,1,Low Spenders,-0.6091751022287261,-0.4207637119693625
CUST00046,81,11,12452.79,2,Potential Loyalists,0.10996734536073773,-0.1062173094175704
CUST00047,26,11,18060.66,2,Potential Loyalists,0.978368404473488,-0.30594282198486644
CUST00048,10,11,12044.15,2,Potential Loyalists,0.360939650508646,-0.8231832668047021
CUST00049,8,10,13095.36,2,Potential Loyalists,0.28148507117101035,-0.8480124305750141
CUST00050,23,7,10321.41,1,Low Spenders,-0.7192051836495335,-1.0735559125829832
CUST00051,44,7,5715.86,1,Low Spenders,-1.3311322938350916,-1.1452442852069562
CUST00052,326,11,16294.45,4,Lost Customers,-0.4794394022242269,2.513798274295963
CUST00053,54,13,17979.0,0,Champions,1.2666171450252242,0.09909313244467294
CUST00054,12,13,17151.21,2,Potential Loyalists,1.348407192008208,-0.36021144375807035
CUST00055,71,13,19504.46,0,Champions,1.368936546323476,0.35646751234447127
CUST00056,496,7,5253.71,3,Lost Customers,-3.2774025665518605,3.235178226641136
CUST00057,4,10,15996.87,2,Potential Loyalists,0.628330779582272,-0.7128316040037137
CUST00058,2,12,18837.83,2,Potential Loyalists,1.3747561013414529,-0.4249146501192537
CUST00059,197,12,21058.68,4,Lost Customers,0.8104389943390033,1.6101670091842264
CUST00060,158,13,20548.84,0,Champions,1.123255135054119,1.2676412312545573
CUST00061,50,15,22387.29,0,Champions,2.1997273580292624,0.4615990397968266
CUST00062,21,9,11468.25,2,Potential Loyalists,-0.16550971124823038,-0.8873448724296273
CUST00063,94,6,7817.57,1,Low Spenders,-1.508936432502998,-0.5998727239512637
CUST00064,73,10,15049.34,2,Potential Loyalists,0.231454343297244,-0.09678801394840823
CUST00065,27,10,15818.01,2,Potential Loyalists,0.5116224046057706,-0.49925999317089365
CUST00066,106,10,14141.93,2,Potential Loyalists,-0.010032676378546882,0.17057117754493997
CUST00067,53,10,19059.97,2,Potential Loyalists,0.7715113919990725,-0.05106287665438067
CUST00068,9,8,13741.67,2,Potential Loyalists,-0.06402491498557206,-0.9363249079068534
CUST00069,6,8,8739.41,1,Low Spenders,-0.6205332004119015,-1.265891622130034
CUST00070,0,11,13549.74,2,Potential Loyalists,0.5741174653641493,-0.8303215173082066
CUST00071,30,6,5257.97,1,Low Spenders,-1.5319930407972395,-1.377702746741595
CUST00072,0,13,18835.55,0,Champions,1.5902994980062373,-0.3761236653144206
CUST00073,162,12,21021.71,0,Champions,0.9528687559841135,1.2666071219143913
CUST00074,44,17,21996.04,0,Champions,2.5952019324566633,0.5164610416945468
CUST00075,101,14,17923.65,0,Champions,1.2708332239285831,0.6225746463652703
CUST00076,12,17,24008.52,0,Champions,2.9582165346231175,0.3251969320410753
CUST00077,143,10,14735.08,4,Lost Customers,-0.09756836059454432,0.567026306603106
CUST00078,37,7,8681.96,1,Low Spenders,-0.9643698022487841,-1.0354435692012185
CUST00079,106,16,15390.93,0,Champions,1.3766001490197384,0.6561526438709778
CUST00080,66,16,24728.51,0,Champions,2.6064640606672276,0.8266277386385518
CUST00081,7,9,8907.22,1,Low Spenders,-0.39820845394025656,-1.1776315933697867
CUST00082,45,5,6823.38,1,Low Spenders,-1.6241731905397185,-1.2058681782165972
CUST00083,3,11,15118.99,2,Potential Loyalists,0.7400728382789169,-0.7068543821573567
CUST00084,32,12,12055.99,2,Potential Loyalists,0.4775392577919613,-0.5394825999610129
CUST00085,104,8,9913.6,1,Low Spenders,-0.8975323876616851,-0.2396463910374667
CUST00086,59,13,18055.03,0,Champions,1.254318675933625,0.15242048258497026
CUST00087,32,13,17552.27,0,Champions,1.3102415967533934,-0.1410822835121515
