customer_id,total_orders,total_spent,avg_order_value,lifespan_months,estimated_clv
CUST00001,11,14304.51,1300.41,11.0,46814.76
CUST00002,7,11497.41,1642.4871428571428,8.0,51738.345
CUST00003,9,12647.02,1405.2244444444445,1.0,455292.72
CUST00004,8,15770.68,1971.335,10.0,56774.448
CUST00005,5,7926.14,1585.228,1.0,285341.04
CUST00006,6,8259.98,1376.6633333333334,0.0,8259.98
CUST00007,10,13486.72,1348.672,5.0,97104.384
CUST00008,8,8169.55,1021.19375,8.0,36762.975
CUST00009,12,19194.12,1599.51,11.0,62817.12
CUST00010,6,6329.65,1054.9416666666666,9.0,25318.6
CUST00011,12,16513.24,1376.1033333333332,3.0,198158.88
CUST00012,7,9909.26,1415.6085714285714,7.0,50961.90857142857
CUST00013,14,34685.52,2477.537142857143,0.0,34685.52
CUST00014,5,6360.52,1272.104,5.0,45795.744
CUST00015,10,18057.14,1805.714,3.0,216685.68
CUST00016,10,14277.41,1427.741,8.0,64248.345
CUST00017,12,8698.37,724.8641666666666,4.0,78285.33
CUST00018,11,26446.98,2404.2709090909093,6.0,158681.88
CUST00019,10,9187.13,918.713,11.0,30066.97090909091
CUST00020,10,14299.98,1429.998,10.0,51479.928
CUST00021,8,15784.32,1973.04,7.0,81176.50285714286
CUST00022,10,15598.5,1559.85,9.0,62394.0
CUST00023,12,16098.55,1341.5458333333333,0.0,16098.55
CUST00024,7,8326.81,1189.5442857142857,8.0,37470.645
CUST00025,11,13730.59,1248.2354545454546,11.0,44936.476363636364
CUST00026,7,7825.52,1117.9314285714286,6.0,46953.12
CUST00027,15,19161.66,1277.444,2.0,344909.88
CUST00028,9,10177.87,1130.8744444444444,2.0,183201.66
CUST00029,16,24838.79,1552.424375,3.0,298065.48
CUST00030,11,18393.76,1672.16,1.0,662175.36
CUST00031,8,7670.37,958.79625,0.0,7670.37
CUST00032,9,12575.14,1397.2377777777779,0.0,12575.14
CUST00033,12,17382.47,1448.5391666666667,4.0,156442.23
CUST00034,10,18274.89,1827.489,5.0,131579.208
CUST00035,16,17382.84,1086.4275,10.0,62578.224
CUST00036,12,16871.99,1405.9991666666667,9.0,67487.96
CUST00037,9,14142.22,1571.3577777777778,6.0,84853.32
CUST00038,15,25383.6,1692.24,3.0,304603.2
CUST00039,6,8767.36,1461.2266666666667,1.0,315624.96
CUST00040,13,16311.97,1254.7669230769231,4.0,146807.73
CUST00041,13,16612.82,1277.9092307692308,8.0,74757.69
CUST00042,5,7346.91,1469.382,9.0,29387.64
CUST00043,12,15070.92,1255.91,0.0,15070.92
CUST00044,10,17562.69,1756.269,6.0,105376.14
CUST00045,10,8028.37,802.837,1.0,289021.32
CUST00046,11,12452.79,1132.0718181818181,0.0,12452.79
CUST00047,11,18060.66,1641.878181818182,0.0,18060.66
CUST00048,11,12044.15,1094.9227272727273,5.0,86717.88
CUST00049,10,13095.36,1309.536,10.0,47143.296
CUST00050,7,10321.41,1474.4871428571428,11.0,33779.16
CUST00051,7,5715.86,816.5514285714286,10.0,20577.096
CUST00052,11,16294.45,1481.3136363636363,8.0,73325.025
CUST00053,13,17979.0,1383.0,0.0,17979.0
CUST00054,13,17151.21,1319.3238461538463,9.0,68604.84
CUST00055,13,19504.46,1500.343076923077,10.0,70216.056
CUST00056,7,5253.71,750.53,2.0,94566.78
CUST00057,10,15996.87,1599.687,11.0,52353.39272727273
CUST00058,12,18837.83,1569.8191666666667,9.0,75351.32
CUST00059,12,21058.68,1754.89,10.0,75811.248
CUST00060,13,20548.84,1580.68,8.0,92469.78
CUST00061,15,22387.29,1492.486,5.0,161188.488
CUST00062,9,11468.25,1274.25,3.0,137619.0
CUST00063,6,7817.57,1302.9283333333333,0.0,7817.57
CUST00064,10,15049.34,1504.934,8.0,67722.03
CUST00065,10,15818.01,1581.801,11.0,51768.03272727273
CUST00066,10,14141.93,1414.193,10.0,50910.948
CUST00067,10,19059.97,1905.997,1.0,686158.92
CUST00068,8,13741.67,1717.70875,9.0,54966.68
CUST00069,8,8739.41,1092.42625,4.0,78654.69
CUST00070,11,13549.74,1231.7945454545454,8.0,60973.83
CUST00071,6,5257.97,876.3283333333334,8.0,23660.865
CUST00072,13,18835.55,1448.8884615384616,6.0,113013.3
CUST00073,12,21021.71,1751.8091666666667,9.0,84086.84
CUST00074,17,21996.04,1293.884705882353,10.0,79185.744
CUST00075,14,17923.65,1280.2607142857144,2.0,322625.7
CUST00076,17,24008.52,1412.2658823529412,3.0,288102.24
CUST00077,10,14735.08,1473.508,0.0,14735.08
CUST00078,7,8681.96,1240.28,2.0,156275.28
CUST00079,16,15390.93,961.933125,4.0,138518.37
CUST00080,16,24728.51,1545.531875,10.0,89022.636
CUST00081,9,8907.22,989.6911111111111,1.0,320659.92
CUST00082,5,6823.38,1364.676,6.0,40940.28
CUST00083,11,15118.99,1374.4536363636364,0.0,15118.99
CUST00084,12,12055.99,1004.6658333333334,11.0,39455.96727272727
CUST00085,8,9913.6,1239.2,6.0,59481.6
CUST00086,13,18055.03,1388.8484615384616,8.0,81247.635
CUST00087,13,17552.27,1350.1746153846154,10.0,63188.172
CUST00088,13,18600.64,1430.8184615384616,0.0,18600.64
CUST00089,14,13630.39,973.5992857142858,5.0,98138.808
CUST00090,12,17963.71,1496.9758333333334,6.0,107782.26
CUST00091,11,20543.62,1867.601818181818,0.0,20543.62
CUST00092,12,19313.5,1609.4583333333333,2.0,347643.0
CUST00093,13,14151.3,1088.5615384615385,11.0,46313.34545454545
CUST00094,11,16658.63,1514.4209090909092,7.0,85672.95428571428
CUST00095,10,26718.97,2671.897,10.0,96188.292
CUST00096,12,16977.42,1414.785,5.0,122237.424
CUST00097,12,12817.62,1068.135,0.0,12817.62
CUST00098,12,14016.66,1168.055,5.0,100919.952
CUST00099,9,12868.74,1429.86,9.0,51474.96
CUST00100,12,16201.23,1350.1025,4.0,145811.07
CUST00101,14,20367.2,1454.8,8.0,91652.4
CUST00102,11,15855.19,1441.3809090909092,11.0,51889.71272727273
CUST00103,12,11768.72,980.7266666666667,0.0,11768.72
CUST00104,10,16144.58,1614.458,1.0,581204.88
CUST00105,12,21721.74,1810.145,1.0,781982.64
CUST00106,10,15526.78,1552.678,9.0,62107.12
CUST00107,11,11723.01,1065.7281818181818,0.0,11723.01
CUST00108,13,21667.96,1666.7661538461539,5.0,156009.312
CUST00109,19,25925.72,1364.5115789473684,11.0,84847.81090909091
CUST00110,5,4839.57,967.914,0.0,4839.57
CUST00111,10,12559.72,1255.972,3.0,150716.64
CUST00112,12,16080.83,1340.0691666666667,8.0,72363.735
CUST00113,12,12813.03,1067.7525,11.0,41933.55272727273
CUST00114,13,19293.18,1484.0907692307692,4.0,173638.62
CUST00115,11,12198.77,1108.979090909091,7.0,62736.53142857143
CUST00116,10,19171.22,1917.122,0.0,19171.22
CUST00117,10,11570.41,1157.041,0.0,11570.41
CUST00118,8,9669.4,1208.675,2.0,174049.2
CUST00119,10,16320.97,1632.097,1.0,587554.92
CUST00120,9,13565.87,1507.318888888889,4.0,122092.83
CUST00121,7,6513.78,930.54,10.0,23449.608
CUST00122,11,19228.92,1748.0836363636363,5.0,138448.224
CUST00123,11,12186.96,1107.9054545454546,0.0,12186.96
CUST00124,9,12724.36,1413.8177777777778,9.0,50897.44
CUST00125,8,12460.89,1557.61125,9.0,49843.56
CUST00126,5,6780.69,1356.138,6.0,40684.14
CUST00127,10,11486.2,1148.62,10.0,41350.32
CUST00128,11,10691.63,971.9663636363637,1.0,384898.68
CUST00129,7,13994.97,1999.2814285714285,1.0,503818.92
CUST00130,8,6884.72,860.59,10.0,24784.992
CUST00131,8,9972.93,1246.61625,3.0,119675.16
CUST00132,10,13938.69,1393.869,0.0,13938.69
CUST00133,12,16037.53,1336.4608333333333,10.0,57735.108
CUST00134,8,12045.64,1505.705,9.0,48182.56
CUST00135,11,20978.6,1907.1454545454546,7.0,107889.94285714286
CUST00136,13,21236.13,1633.5484615384617,2.0,382250.34
CUST00137,10,16597.85,1659.785,8.0,74690.325
CUST00138,6,5216.86,869.4766666666667,9.0,20867.44
CUST00139,13,17943.37,1380.2592307692307,8.0,80745.165
CUST00140,9,13776.46,1530.7177777777779,2.0,247976.28
CUST00141,14,16317.48,1165.5342857142857,0.0,16317.48
CUST00142,5,10360.73,2072.146,1.0,372986.28
CUST00143,4,6176.4,1544.1,1.0,222350.4
CUST00144,6,4869.9,811.65,0.0,4869.9
CUST00145,5,6940.63,1388.126,1.0,249862.68
CUST00146,10,10622.91,1062.291,1.0,382424.76
CUST00147,12,15504.51,1292.0425,11.0,50742.03272727273
CUST00148,9,14121.14,1569.0155555555555,7.0,72623.00571428571
CUST00149,13,19589.45,1506.8807692307691,11.0,64110.92727272727
CUST00150,11,15442.41,1403.8554545454544,1.0,555926.76
CUST00151,9,10451.1,1161.2333333333333,10.0,37623.96
CUST00152,8,15079.94,1884.9925,2.0,271438.92
CUST00153,9,10640.23,1182.2477777777779,10.0,38304.828
CUST00154,10,14241.72,1424.172,1.0,512701.92
CUST00155,11,13391.21,1217.3827272727274,5.0,96416.712
CUST00156,12,14489.41,1207.4508333333333,10.0,52161.876
CUST00157,15,20565.9,1371.06,5.0,148074.48
CUST00158,15,26640.56,1776.0373333333334,10.0,95906.016
CUST00159,5,4104.58,820.916,4.0,36941.22
CUST00160,13,12694.81,976.5238461538462,2.0,228506.58
CUST00161,5,7673.68,1534.736,0.0,7673.68
CUST00162,9,10529.37,1169.93,9.0,42117.48
CUST00163,14,11893.7,849.55,8.0,53521.65
CUST00164,10,14178.59,1417.859,7.0,72918.46285714286
CUST00165,17,21800.69,1282.3935294117648,1.0,784824.84
CUST00166,14,26738.53,1909.895,5.0,192517.416
CUST00167,8,13052.26,1631.5325,9.0,52209.04
CUST00168,2,3795.96,1897.98,3.0,45551.52
CUST00169,2,6150.86,3075.43,6.0,36905.16
CUST00170,17,16463.32,968.4305882352941,3.0,197559.84
CUST00171,15,28154.52,1876.968,0.0,28154.52
CUST00172,9,14180.12,1575.568888888889,0.0,14180.12
