customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
CUST02286,832,2,2145.8,1,1,1,3,Lost
CUST01229,813,1,157.87,1,1,1,3,Lost
CUST01564,757,2,1657.38,1,1,1,3,Lost
CUST02258,694,3,1094.93,1,1,1,3,Lost
CUST02663,692,2,387.74,1,1,1,3,Lost
CUST00445,685,8,16229.29,1,2,4,7,Potential Loyalists
CUST02587,682,2,592.94,1,1,1,3,Lost
CUST00716,649,5,5525.9,1,1,1,3,Lost
CUST03676,643,5,8760.14,1,1,1,3,Lost
CUST03278,625,3,5776.49,1,1,1,3,Lost
CUST03865,612,10,16360.59,1,3,4,8,Potential Loyalists
CUST04459,604,5,6744.74,1,1,1,3,Lost
CUST04866,602,4,7923.19,1,1,1,3,Lost
CUST02975,598,2,893.87,1,1,1,3,Lost
CUST02189,596,4,7618.36,1,1,1,3,Lost
CUST01833,595,7,10606.54,1,1,2,4,Lost
CUST03989,595,6,12627.8,1,1,3,5,Lost
CUST03639,592,8,14295.03,1,2,3,6,Lost
CUST03987,589,9,16654.75,1,3,4,8,Potential Loyalists
CUST02580,568,4,9279.87,1,1,2,4,Lost
CUST00205,554,4,5941.6,1,1,1,3,Lost
CUST03723,544,5,2633.83,1,1,1,3,Lost
CUST03069,540,6,13326.97,1,1,3,5,Lost
CUST03803,538,4,3712.66,1,1,1,3,Lost
CUST04586,538,5,5785.23,1,1,1,3,Lost
CUST01111,530,8,7133.77,1,2,1,4,Lost
CUST00866,519,5,2911.02,1,1,1,3,Lost
CUST03448,518,3,1974.79,1,1,1,3,Lost
CUST04177,516,4,7700.24,1,1,1,3,Lost
CUST00257,516,6,7188.54,1,1,1,3,Lost
CUST03152,514,6,7347.36,1,1,1,3,Lost
CUST04551,511,5,10539.91,1,1,2,4,Lost
CUST00453,511,3,3006.61,1,1,1,3,Lost
CUST02778,509,4,2720.85,1,1,1,3,Lost
CUST00536,504,9,12901.91,1,2,3,6,Lost
CUST01838,500,7,11593.29,1,1,2,4,Lost
CUST03403,498,6,11311.01,1,1,2,4,Lost
CUST00056,496,7,5253.71,1,2,1,4,Lost
CUST03315,493,10,12562.52,1,3,3,7,Potential Loyalists
CUST00333,489,4,8043.3,1,1,1,3,Lost
CUST00044,487,10,17562.69,1,3,4,8,Potential Loyalists
CUST01944,485,3,6826.28,1,1,1,3,Lost
CUST03517,481,6,7264.37,1,1,1,3,Lost
CUST04605,476,10,8206.81,1,3,1,5,Lost
CUST01571,476,6,6959.03,1,1,1,3,Lost
CUST00882,473,2,1452.49,1,1,1,3,Lost
CUST01089,469,8,10901.38,1,2,2,5,Lost
CUST01201,467,5,4284.4,1,1,1,3,Lost
CUST01115,462,7,6386.5,1,1,1,3,Lost
CUST03916,456,3,3299.75,1,1,1,3,Lost
CUST04446,455,3,2297.57,1,1,1,3,Lost
CUST03393,455,11,16967.93,1,4,4,9,Potential Loyalists
CUST04607,453,6,4979.92,1,1,1,3,Lost
CUST04780,446,9,9367.1,1,2,2,5,Lost
CUST03607,442,5,2932.28,1,1,1,3,Lost
CUST01410,440,5,7078.04,1,1,1,3,Lost
CUST01117,432,7,12817.95,1,2,3,6,Lost
CUST02419,431,8,6864.67,1,2,1,4,Lost
CUST04381,426,4,5556.76,1,1,1,3,Lost
CUST02173,425,8,8362.79,1,2,1,4,Lost
CUST03896,425,4,4240.08,1,1,1,3,Lost
CUST04088,424,4,7935.91,1,1,1,3,Lost
