customer_id,cluster,cluster_name,recency,frequency,monetary
CUST00001,2,Potential Loyalists,55,11,14304.51
CUST00002,1,Low Spenders,113,7,11497.41
CUST00003,4,Lost Customers,160,9,12647.02
CUST00004,4,Lost Customers,199,8,15770.68
CUST00005,1,Low Spenders,84,5,7926.14
CUST00006,1,Low Spenders,106,6,8259.98
CUST00007,2,Potential Loyalists,64,10,13486.72
CUST00008,1,Low Spenders,112,8,8169.55
CUST00009,0,Champions,4,12,19194.12
CUST00010,1,Low Spenders,29,6,6329.65
CUST00011,2,Potential Loyalists,35,12,16513.24
CUST00012,1,Low Spenders,133,7,9909.26
CUST00013,0,Champions,74,14,34685.52
CUST00014,1,Low Spenders,169,5,6360.52
CUST00015,2,Potential Loyalists,79,10,18057.14
CUST00016,2,Potential Loyalists,31,10,14277.41
CUST00017,2,Potential Loyalists,88,12,8698.37
CUST00018,0,Champions,17,11,26446.98
CUST00019,1,Low Spenders,77,10,9187.13
CUST00020,2,Potential Loyalists,77,10,14299.98
CUST00021,2,Potential Loyalists,8,8,15784.32
CUST00022,2,Potential Loyalists,57,10,15598.5
CUST00023,2,Potential Loyalists,73,12,16098.55
CUST00024,1,Low Spenders,78,7,8326.81
CUST00025,2,Potential Loyalists,32,11,13730.59
CUST00026,1,Low Spenders,69,7,7825.52
CUST00027,0,Champions,37,15,19161.66
CUST00028,1,Low Spenders,120,9,10177.87
CUST00029,0,Champions,1,16,24838.79
CUST00030,2,Potential Loyalists,7,11,18393.76
CUST00031,1,Low Spenders,153,8,7670.37
CUST00032,4,Lost Customers,156,9,12575.14
CUST00033,2,Potential Loyalists,44,12,17382.47
CUST00034,2,Potential Loyalists,118,10,18274.89
CUST00035,0,Champions,19,16,17382.84
CUST00036,2,Potential Loyalists,120,12,16871.99
CUST00037,4,Lost Customers,307,9,14142.22
CUST00038,0,Champions,176,15,25383.6
CUST00039,1,Low Spenders,12,6,8767.36
CUST00040,2,Potential Loyalists,58,13,16311.97
CUST00041,2,Potential Loyalists,6,13,16612.82
CUST00042,3,Lost Customers,216,5,7346.91
CUST00043,2,Potential Loyalists,109,12,15070.92
CUST00044,3,Lost Customers,487,10,17562.69
CUST00045,1,Low Spenders,83,10,8028.37
CUST00046,2,Potential Loyalists,81,11,12452.79
CUST00047,2,Potential Loyalists,26,11,18060.66
CUST00048,2,Potential Loyalists,10,11,12044.15
CUST00049,2,Potential Loyalists,8,10,13095.36
CUST00050,1,Low Spenders,23,7,10321.41
CUST00051,1,Low Spenders,44,7,5715.86
CUST00052,4,Lost Customers,326,11,16294.45
CUST00053,0,Champions,54,13,17979.0
CUST00054,2,Potential Loyalists,12,13,17151.21
CUST00055,0,Champions,71,13,19504.46
CUST00056,3,Lost Customers,496,7,5253.71
CUST00057,2,Potential Loyalists,4,10,15996.87
CUST00058,2,Potential Loyalists,2,12,18837.83
CUST00059,4,Lost Customers,197,12,21058.68
CUST00060,0,Champions,158,13,20548.84
CUST00061,0,Champions,50,15,22387.29
CUST00062,2,Potential Loyalists,21,9,11468.25
CUST00063,1,Low Spenders,94,6,7817.57
CUST00064,2,Potential Loyalists,73,10,15049.34
CUST00065,2,Potential Loyalists,27,10,15818.01
CUST00066,2,Potential Loyalists,106,10,14141.93
CUST00067,2,Potential Loyalists,53,10,19059.97
CUST00068,2,Potential Loyalists,9,8,13741.67
CUST00069,1,Low Spenders,6,8,8739.41
CUST00070,2,Potential Loyalists,0,11,13549.74
CUST00071,1,Low Spenders,30,6,5257.97
CUST00072,0,Champions,0,13,18835.55
CUST00073,0,Champions,162,12,21021.71
CUST00074,0,Champions,44,17,21996.04
CUST00075,0,Champions,101,14,17923.65
CUST00076,0,Champions,12,17,24008.52
CUST00077,4,Lost Customers,143,10,14735.08
CUST00078,1,Low Spenders,37,7,8681.96
CUST00079,0,Champions,106,16,15390.93
CUST00080,0,Champions,66,16,24728.51
CUST00081,1,Low Spenders,7,9,8907.22
CUST00082,1,Low Spenders,45,5,6823.38
CUST00083,2,Potential Loyalists,3,11,15118.99
CUST00084,2,Potential Loyalists,32,12,12055.99
CUST00085,1,Low Spenders,104,8,9913.6
CUST00086,0,Champions,59,13,18055.03
CUST00087,0,Champions,32,13,17552.27
CUST00088,0,Champions,138,13,18600.64
CUST00089,2,Potential Loyalists,98,14,13630.39
CUST00090,2,Potential Loyalists,5,12,17963.71
CUST00091,0,Champions,108,11,20543.62
CUST00092,0,Champions,3,12,19313.5
CUST00093,2,Potential Loyalists,125,13,14151.3
CUST00094,2,Potential Loyalists,1,11,16658.63
CUST00095,0,Champions,72,10,26718.97
CUST00096,4,Lost Customers,198,12,16977.42
CUST00097,2,Potential Loyalists,10,12,12817.62
CUST00098,2,Potential Loyalists,34,12,14016.66
CUST00099,2,Potential Loyalists,55,9,12868.74
CUST00100,2,Potential Loyalists,10,12,16201.23
CUST00101,0,Champions,0,14,20367.2
CUST00102,4,Lost Customers,266,11,15855.19
CUST00103,4,Lost Customers,160,12,11768.72
CUST00104,4,Lost Customers,365,10,16144.58
CUST00105,0,Champions,79,12,21721.74
CUST00106,2,Potential Loyalists,30,10,15526.78
CUST00107,4,Lost Customers,246,11,11723.01
CUST00108,0,Champions,29,13,21667.96
CUST00109,0,Champions,50,19,25925.72
CUST00110,1,Low Spenders,159,5,4839.57
CUST00111,2,Potential Loyalists,97,10,12559.72
CUST00112,2,Potential Loyalists,13,12,16080.83
CUST00113,2,Potential Loyalists,64,12,12813.03
CUST00114,0,Champions,1,13,19293.18
CUST00115,4,Lost Customers,185,11,12198.77
CUST00116,2,Potential Loyalists,103,10,19171.22
CUST00117,2,Potential Loyalists,104,10,11570.41
CUST00118,1,Low Spenders,78,8,9669.4
CUST00119,4,Lost Customers,223,10,16320.97
CUST00120,2,Potential Loyalists,60,9,13565.87
CUST00121,1,Low Spenders,39,7,6513.78
CUST00122,2,Potential Loyalists,3,11,19228.92
CUST00123,2,Potential Loyalists,102,11,12186.96
CUST00124,2,Potential Loyalists,86,9,12724.36
CUST00125,4,Lost Customers,177,8,12460.89
CUST00126,3,Lost Customers,204,5,6780.69
