transaction_id,invoice_no,customer_id,customer_name,country,product_id,product_name,category,quantity,transaction_date,total_amount,year,month,day,day_of_week
50029,INV00000000,CUST03153,Customer 3153,USA,PROD00039,Product 39,Books,10,2024-06-14,2817.0,2024.0,6.0,14.0,Friday   
50030,INV00000001,CUST00448,Customer 448,Australia,PROD00003,Product 3,Clothing,9,2022-12-08,3523.14,2022.0,12.0,8.0,Thursday 
50031,INV00000002,CUST03845,Customer 3845,Germany,PROD00127,Product 127,Food & Beverages,2,2023-04-26,456.18,2023.0,4.0,26.0,Wednesday
50032,INV00000003,CUST04028,Customer 4028,USA,PROD00083,Product 83,Clothing,6,2023-04-29,1162.86,2023.0,4.0,29.0,Saturday 
50033,INV00000004,CUST02279,Customer 2279,India,PROD00013,Product 13,Clothing,4,2023-11-16,267.76,2023.0,11.0,16.0,Thursday 
50034,INV00000005,CUST04510,Customer 4510,Australia,PROD00165,Product 165,Toys,7,2024-02-25,3487.05,2024.0,2.0,25.0,Sunday   
50035,INV00000006,CUST01926,Customer 1926,Germany,PROD00021,Product 21,Books,8,2023-08-16,663.04,2023.0,8.0,16.0,Wednesday
50036,INV00000007,CUST04695,Customer 4695,France,PROD00115,Product 115,Sports,8,2022-11-28,721.52,2022.0,11.0,28.0,Monday   
50037,INV00000008,CUST03663,Customer 3663,UK,PROD00081,Product 81,Home & Garden,8,2023-03-30,325.52,2023.0,3.0,30.0,Thursday 
50038,INV00000009,CUST00146,Customer 146,Australia,PROD00027,Product 27,Electronics,7,2023-10-15,1116.01,2023.0,10.0,15.0,Sunday   
50039,INV00000010,CUST00294,Customer 294,Canada,PROD00143,Product 143,Home & Garden,1,2023-10-10,29.99,2023.0,10.0,10.0,Tuesday  
50040,INV00000011,CUST00745,Customer 745,UK,PROD00155,Product 155,Sports,10,2024-12-24,2515.3,2024.0,12.0,24.0,Tuesday  
50041,INV00000012,CUST02496,Customer 2496,India,PROD00131,Product 131,Sports,4,2024-06-11,514.04,2024.0,6.0,11.0,Tuesday  
50042,INV00000013,CUST03738,Customer 3738,Australia,PROD00088,Product 88,Home & Garden,1,2024-02-28,391.59,2024.0,2.0,28.0,Wednesday
50043,INV00000014,CUST01827,Customer 1827,Australia,PROD00117,Product 117,Electronics,9,2023-08-30,349.47,2023.0,8.0,30.0,Wednesday
50044,INV00000015,CUST04915,Customer 4915,UK,PROD00122,Product 122,Beauty,8,2024-03-06,2231.36,2024.0,3.0,6.0,Wednesday
50045,INV00000016,CUST00935,Customer 935,USA,PROD00025,Product 25,Home & Garden,4,2024-10-25,881.96,2024.0,10.0,25.0,Friday   
50046,INV00000017,CUST00018,Customer 18,India,PROD00088,Product 88,Home & Garden,5,2023-04-28,1957.95,2023.0,4.0,28.0,Friday   
50047,INV00000018,CUST04487,Customer 4487,Canada,PROD00134,Product 134,Home & Garden,2,2023-09-23,125.9,2023.0,9.0,23.0,Saturday 
50048,INV00000019,CUST00376,Customer 376,Germany,PROD00043,Product 43,Food & Beverages,3,2023-10-02,817.98,2023.0,10.0,2.0,Monday   
50049,INV00000020,CUST03353,Customer 3353,France,PROD00028,Product 28,Electronics,10,2023-09-05,2438.4,2023.0,9.0,5.0,Tuesday  
50050,INV00000021,CUST01605,Customer 1605,UK,PROD00049,Product 49,Home & Garden,7,2023-04-05,2510.41,2023.0,4.0,5.0,Wednesday
50051,INV00000022,CUST01767,Customer 1767,Australia,PROD00118,Product 118,Electronics,6,2023-06-05,1308.24,2023.0,6.0,5.0,Monday   
50052,INV00000023,CUST00883,Customer 883,Germany,PROD00194,Product 194,Electronics,1,2023-07-07,130.41,2023.0,7.0,7.0,Friday   
50053,INV00000024,CUST04824,Customer 4824,USA,PROD00032,Product 32,Electronics,8,2024-03-05,103.6,2024.0,3.0,5.0,Tuesday  
50054,INV00000025,CUST04828,Customer 4828,Germany,PROD00130,Product 130,Beauty,8,2022-09-25,2122.0,2022.0,9.0,25.0,Sunday   
50055,INV00000026,CUST00036,Customer 36,Australia,PROD00136,Product 136,Home & Garden,1,2024-07-16,308.07,2024.0,7.0,16.0,Tuesday  
50056,INV00000027,CUST04533,Customer 4533,India,PROD00111,Product 111,Sports,8,2024-04-27,2216.48,2024.0,4.0,27.0,Saturday 
50057,INV00000028,CUST04165,Customer 4165,Australia,PROD00200,Product 200,Electronics,3,2024-11-21,1202.58,2024.0,11.0,21.0,Thursday 
50058,INV00000029,CUST04740,Customer 4740,France,PROD00045,Product 45,Sports,3,2024-04-01,473.61,2024.0,4.0,1.0,Monday   
50059,INV00000030,CUST00849,Customer 849,UK,PROD00100,Product 100,Clothing,10,2024-03-07,4895.8,2024.0,3.0,7.0,Thursday 
50060,INV00000031,CUST04966,Customer 4966,UK,PROD00083,Product 83,Clothing,7,2023-12-01,1356.67,2023.0,12.0,1.0,Friday   
50061,INV00000032,CUST03430,Customer 3430,USA,PROD00156,Product 156,Electronics,5,2023-06-25,1863.5,2023.0,6.0,25.0,Sunday   
50062,INV00000033,CUST03260,Customer 3260,France,PROD00088,Product 88,Home & Garden,8,2023-11-03,3132.72,2023.0,11.0,3.0,Friday   
50063,INV00000034,CUST01093,Customer 1093,UK,PROD00036,Product 36,Sports,10,2023-11-09,3098.8,2023.0,11.0,9.0,Thursday 
50064,INV00000035,CUST04197,Customer 4197,UK,PROD00077,Product 77,Beauty,9,2023-10-15,1630.35,2023.0,10.0,15.0,Sunday   
50065,INV00000036,CUST01781,Customer 1781,Australia,PROD00052,Product 52,Books,10,2023-04-03,4402.7,2023.0,4.0,3.0,Monday   
50066,INV00000037,CUST02381,Customer 2381,Australia,PROD00176,Product 176,Electronics,3,2023-05-26,543.63,2023.0,5.0,26.0,Friday   
50067,INV00000038,CUST01457,Customer 1457,USA,PROD00129,Product 129,Toys,2,2023-10-24,587.72,2023.0,10.0,24.0,Tuesday  
50068,INV00000039,CUST02886,Customer 2886,France,PROD00144,Product 144,Toys,10,2023-10-30,3156.1,2023.0,10.0,30.0,Monday   
50069,INV00000040,CUST04675,Customer 4675,USA,PROD00171,Product 171,Beauty,7,2024-12-25,2301.11,2024.0,12.0,25.0,Wednesday
50070,INV00000041,CUST04374,Customer 4374,Germany,PROD00074,Product 74,Home & Garden,1,2023-11-06,439.6,2023.0,11.0,6.0,Monday   
50071,INV00000042,CUST04283,Customer 4283,Australia,PROD00028,Product 28,Electronics,7,2023-01-15,1706.88,2023.0,1.0,15.0,Sunday   
50072,INV00000043,CUST01191,Customer 1191,Canada,PROD00014,Product 14,Books,1,2024-07-08,425.98,2024.0,7.0,8.0,Monday   
50073,INV00000044,CUST01638,Customer 1638,India,PROD00069,Product 69,Sports,5,2023-01-08,991.95,2023.0,1.0,8.0,Sunday   
50074,INV00000045,CUST02053,Customer 2053,Australia,PROD00038,Product 38,Sports,1,2024-09-15,53.27,2024.0,9.0,15.0,Sunday   
50075,INV00000046,CUST02418,Customer 2418,India,PROD00053,Product 53,Toys,9,2024-07-07,3648.15,2024.0,7.0,7.0,Sunday   
50076,INV00000047,CUST00265,Customer 265,India,PROD00092,Product 92,Food & Beverages,2,2024-03-18,332.0,2024.0,3.0,18.0,Monday   
50077,INV00000048,CUST04603,Customer 4603,Germany,PROD00058,Product 58,Food & Beverages,4,2024-05-13,1013.0,2024.0,5.0,13.0,Monday   
50078,INV00000049,CUST04186,Customer 4186,France,PROD00179,Product 179,Toys,1,2023-07-01,456.03,2023.0,7.0,1.0,Saturday 
50079,INV00000050,CUST03126,Customer 3126,UK,PROD00100,Product 100,Clothing,6,2023-08-03,2937.48,2023.0,8.0,3.0,Thursday 
50080,INV00000051,CUST04524,Customer 4524,Australia,PROD00014,Product 14,Books,5,2022-05-31,2129.9,2022.0,5.0,31.0,Tuesday  
50081,INV00000052,CUST01664,Customer 1664,Australia,PROD00159,Product 159,Home & Garden,4,2024-01-27,186.92,2024.0,1.0,27.0,Saturday 
50082,INV00000053,CUST03013,Customer 3013,France,PROD00194,Product 194,Electronics,4,2023-03-09,521.64,2023.0,3.0,9.0,Thursday 
50083,INV00000054,CUST02410,Customer 2410,India,PROD00115,Product 115,Sports,2,2023-01-22,180.38,2023.0,1.0,22.0,Sunday   
50084,INV00000055,CUST01532,Customer 1532,Canada,PROD00045,Product 45,Sports,7,2022-10-30,1105.09,2022.0,10.0,30.0,Sunday   
50085,INV00000056,CUST00333,Customer 333,Canada,PROD00110,Product 110,Toys,9,2023-08-30,2854.8,2023.0,8.0,30.0,Wednesday
50086,INV00000057,CUST02165,Customer 2165,Australia,PROD00034,Product 34,Clothing,10,2022-12-16,665.7,2022.0,12.0,16.0,Friday   
50087,INV00000058,CUST02090,Customer 2090,USA,PROD00002,Product 2,Home & Garden,8,2023-09-09,2258.0,2023.0,9.0,9.0,Saturday 
50088,INV00000059,CUST01269,Customer 1269,Canada,PROD00011,Product 11,Sports,6,2023-03-13,2416.44,2023.0,3.0,13.0,Monday   
50089,INV00000060,CUST04890,Customer 4890,India,PROD00014,Product 14,Books,10,2024-09-19,4259.8,2024.0,9.0,19.0,Thursday 
50090,INV00000061,CUST02468,Customer 2468,Australia,PROD00126,Product 126,Clothing,9,2024-08-06,2556.09,2024.0,8.0,6.0,Tuesday  
50091,INV00000062,CUST02934,Customer 2934,India,PROD00019,Product 19,Clothing,6,2024-06-17,663.78,2024.0,6.0,17.0,Monday   
50092,INV00000063,CUST04305,Customer 4305,India,PROD00057,Product 57,Clothing,3,2024-12-30,1227.36,2024.0,12.0,30.0,Monday   
50093,INV00000064,CUST04265,Customer 4265,India,PROD00018,Product 18,Clothing,7,2023-02-03,527.59,2023.0,2.0,3.0,Friday   
